----------------------------------------------------------------------------------------------------,
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,1509
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,0
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,3210
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,0
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,0
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,59538
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,308
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--final_kernel,5040
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--final_kernel,2856

----------------------------------------------------------------------------------------------------,
gpgpu_n_tot_w_icount\s*=\s*(.*),
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,367895
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,138201
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,1165587
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,154224
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,29106
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,35220
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,293096
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,45129
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--final_kernel,322485
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--final_kernel,780416

----------------------------------------------------------------------------------------------------,
total dram reads\s*=\s*(.*),
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,0
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,0
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,0
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,0
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,0
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,0
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,0
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,0
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--final_kernel,48
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--final_kernel,630

----------------------------------------------------------------------------------------------------,
total dram writes\s*=\s*(.*),
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,0
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,0
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,0
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,0
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,0
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,0
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,0
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,0
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--final_kernel,0
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--final_kernel,0

----------------------------------------------------------------------------------------------------,
kernel_launch_uid\s*=\s*(.*),
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,2
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,16
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,7
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,1
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,10
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,15
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,4
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,4
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--final_kernel,4
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--final_kernel,130

----------------------------------------------------------------------------------------------------,
gpu_ipc\s*=\s*(.*),
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,459.6488
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,13.0178
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,401.7660
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,531.4547
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,0.6960
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,0.4481
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,154.6479
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,37.8078
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--final_kernel,236.3051
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--final_kernel,12.7578

----------------------------------------------------------------------------------------------------,
gpu_occupancy\s*=\s*(.*)%,
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,nan
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,nan
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,nan
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,nan
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,nan
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,nan
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,nan
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,nan
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--final_kernel,nan
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--final_kernel,nan

----------------------------------------------------------------------------------------------------,
L2_BW\s*=\s*(.*)+GB\/Sec,
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--final_kernel,
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--final_kernel,

----------------------------------------------------------------------------------------------------,
gpgpu_simulation_rate\s+=\s+(.*)\s+\(inst\/sec\),
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,219499
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,24264
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,309851
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,143444
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,5895
